feature_id	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	A15M_R1	A15M_R2	A15M_R3	A45M_R1	A45M_R2	A45M_R3	A5M_R1	A5M_R2	A5M_R3	M_R1	M_R2	M_R3	PPL_R1
FT05326	302.233336869956	302.233219660709	302.233398578539	560.062432407467	559.578254894944	560.608795442941	7360010.46914254	10488639.952035	10637696.9259274	13078705.1896326	13430311.3531128	13846974.1798208	9925230.72224824	12681066.511759	10963768.9954618	11072665.1627826	9981063.9441398	13068318.6091256	3295660.75651688
FT05327	302.233299633388	302.233206750233	302.233449487528	547.996462012174	547.606142429737	548.592107761011	22725041.6703237	29250061.2363117	30875745.3787779	32085035.9248096	29502704.6031506	34296953.0398415	25436185.2527109	31944144.5893502	34904570.9017813	33203045.8731046	25696024.1046903	39182500.1214959	9251032.84003867
FT05328	302.233271813646	302.233178990612	302.233362123504	522.135242420118	521.583854686015	522.977412089276	13023687.9399181	14595944.5504013	16433874.0800754	11029674.8898325	13181972.5430455	12296042.0026019	13189306.293999	16340643.4300965	16211176.9069519	17580136.9756765	11915679.8694477	19063987.5172775	2550466.453291
FT05329	302.233325691898	302.233175143923	302.233456769256	495.57940240661	494.544440263274	499.316846154159	14925561.8098037	8454433.1601641	19613335.1540366	19864526.2734758	9640686.64840683	10371423.4670519	19951132.957351	25888281.8539886	12076060.2841518	38023332.1533589	13863042.3104206	26373839.7674322	3425015.41559043
FT05330	302.233348385585	302.233232697812	302.233501727158	508.026720720316	507.480857951564	508.930983123044	12379975.3625938	15337938.0977254	13707895.7402552	14527862.949912	10199347.5907331	11774078.6773299	15376443.5822548	19917127.8148115	16779657.3009438	19089679.0318203	14973190.0777146	21482606.3133886	2940317.39154685
FT05348	303.105575605204	303.105452308756	303.105602780361	65.6923223093844	63.4813998466599	66.004682456293	3786018.71452738	4820152.65795032	4634434.60681419	10715609.3035479	10632433.4670741	8708479.91374849	4939031.21199763	5853072.17011094	5464258.28539522	4169622.49658814	3058699.54154574	5857122.75029362	NA
FT05349	303.105880081995	303.105749523036	303.105942949627	111.915683995972	110.975005943206	112.402795461257	7862683.05589926	15029402.2041323	10407882.9963966	11059809.7387576	12691911.4179551	8189441.69671464	12510070.9488011	7608573.16402463	11298479.2623407	7727050.59618097	11994412.4993484	9231265.60191708	NA
FT05360	303.180824902533	303.180807918029	303.180838380347	478.092037817668	477.497642158473	478.128506082608	3131954.31796013	666346.518332154	1363731.21516129	16765627.2563123	14027091.2240551	16080925.702204	2801391.99482324	643499.962079	915278.982344685	227792.594621655	2720398.33723815	929132.872680552	579770.373601626
FT05362	303.196096331333	303.196078183795	303.196183136893	581.883528998427	579.939128974558	582.631716348427	13417581.426454	14882145.2736927	15692073.9398714	36793998.0360315	70488162.2840668	40938073.711781	14954395.4789692	16641373.3722968	16081657.8793406	13158602.2494786	12917922.0656212	15919919.6181633	146611.342126254
FT05378	304.155048312747	304.154940934783	304.155136691116	249.600970574306	248.448896937967	249.952745461047	426764308.877844	432340739.376795	437031156.912004	364481412.69542	352252604.990513	366826497.855431	470955914.867179	464506450.711648	481437593.090419	456889511.141008	453912152.204007	462509264.56865	899642149.835038
FT05379	304.176225036767	304.176072719491	304.1763470042	240.160519954284	239.81894859768	240.797989053563	9966144.55978962	12692726.5585235	7973605.75860752	7977456.98002114	12048195.7901234	10220832.7028995	14197528.1863426	10677864.1135933	8085808.90404055	10479709.1903476	11110698.8940386	9841992.71450642	3578893.51855791
FT05380	304.176139599688	304.175958080444	304.176251964172	356.033877126695	355.778815008146	356.366320019478	49568963.8676555	32598802.005037	36052520.7677117	46362437.155047	43395063.8293174	43546340.112423	46610390.0576002	42225527.2213954	41038225.6191597	41515069.1361894	57424807.9264302	44908261.0780889	8579840.53378945
FT05381	304.176125932395	304.176025029854	304.176225046276	388.541323212372	387.862726829777	389.827534781739	14518486.3111327	14523105.831273	11309118.1783752	22380987.4520124	20983288.5065894	16630776.1124569	22500153.1371275	14278900.3744349	15788651.8152158	21566946.1859032	22520733.2568835	25576751.6903348	7991470.08028108
FT05382	304.176171299325	304.176071918407	304.176264240923	203.081719817606	202.539802897084	203.918325347135	13957721.5340338	7749216.05485062	6672423.36850342	7094720.0861246	7968155.4882373	6242139.42257566	11170571.988872	7781073.56506092	8620394.33478248	6553960.41763948	9591049.33944456	7337791.66594724	1967920.8496373
FT05384	304.176030807516	304.175917917049	304.1761206712	461.708422005919	461.322528677351	464.250937072944	35482228.2837072	24671382.2455506	29193709.8389997	10524627.6740661	9951798.09014974	9780902.68221111	37302654.337894	31398791.6424027	31322501.1862377	27990765.668183	31646376.1539	24277550.855194	25208458.0922666
FT05398	304.191693763508	304.191693763508	304.191693763508	499.834276400592	499.834276400592	499.834276400592	1504661.71026382	1679861.90500291	1859231.86963426	1424757.40089909	1618862.4215897	1745097.21100016	2078632.40995643	1686817.27957444	1432129.79413081	2047860.01513267	1444626.94337753	1660965.01526306	21847637.215333
FT05399	304.191228379889	304.191228379889	304.191228379889	416.855659747728	416.855659747728	416.855659747728	1206655.46481829	1458413.71269017	1328905.00926046	787851.412986419	1074633.66819155	1078810.52990695	1511307.39685157	1585777.86126201	1472705.39814513	1272813.89421111	1669024.19755899	1312316.35137786	3728916.64093781
